"diplome_r","Delai_r","sexe_r","StatutP_r","StatutM_r","Conseil_r","Diff2_r","Exppro_r","Abs1_r","Abs2_r"
"BAC+2","Dificile","Homme","prof_interm","employe","aucun","Plutot dificile",0,0,0
">=BAC+3","Facile","Femme","prof_interm","employe","aucun","Plutot facile",0,0,0
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Plutot facile",4,2,2
">=BAC+3","Facile","Homme",NA,"employe","aucun","Plutot dificile",6,0,14
">=BAC+3","Facile","Femme","artis-commerc","employe","un","Plutot dificile",2,14,21
">=BAC+3","Facile","Femme",NA,"employe","aucun","Plutot facile",1,0,0
">=BAC+3","Facile","Homme","artis-commerc","employe","aucun","Plutot facile",2,0,0
">=BAC+3","Dificile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","un","Plutot dificile",2,5,39
">=BAC+3","Dificile","Femme",NA,"prof_interm","aucun","Plutot dificile",2,0,0
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","prof_interm","aucun","Plutot facile",3,2,2
"BAC+2","Facile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",5,2,2
"BAC+2","Facile","Homme","NSP","employe","aucun","Plutot facile",1,2,NA
"BAC","Dificile","Homme","employe","employe","aucun","Plutot facile",0,3,44
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",2,3,18
">=BAC+3","Dificile","Homme","ing-cadre-prof_lib","ouvrir","un","Plutot facile",1,0,NA
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",4,0,26
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","employe","un","Plutot facile",0,0,17
"BAC+2","Facile","Femme","ing-cadre-prof_lib",NA,"aucun","Plutot facile",4,12,12
"BAC+2","Dificile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",3,5,55
">=BAC+3","Facile","Homme",NA,"ing-cadre-prof_lib","aucun","Tres facile",1,2,2
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",0,0,62
"BAC+2","Facile","Homme","prof_interm","ing-cadre-prof_lib","aucun","Plutot dificile",1,0,11
"BAC+2","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Plutot facile",1,3,3
"BAC+2","Dificile","Femme","NSP","ing-cadre-prof_lib","aucun","Plutot facile",2,31,31
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","prof_interm","aucun","Plutot facile",3,13,25
">=BAC+3","Facile","Femme","prof_interm","prof_interm","plusieurs","Plutot facile",2,0,5
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",3,0,NA
">=BAC+3","Facile","Femme","artis-commerc","ing-cadre-prof_lib","aucun","Plutot dificile",0,5,28
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","employe","un","Plutot facile",0,0,18
">=BAC+3","Facile","Homme","ouvrir","employe","un","Plutot dificile",4,0,0
">=BAC+3","Facile","Homme","prof_interm","employe","aucun","Plutot facile",2,6,12
">=BAC+3","Dificile","Homme","ouvrir","employe","aucun","Plutot dificile",2,3,3
">=BAC+3","Dificile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","un","Plutot dificile",1,9,NA
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","employe","plusieurs","Plutot dificile",3,0,0
">=BAC+3","Facile","Homme","ing-cadre-prof_lib",NA,"aucun","Plutot facile",2,0,0
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",3,3,3
">=BAC+3","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",3,0,55
">=BAC+3","Facile","Homme","ouvrir","employe","aucun","Tres facile",3,0,0
"BAC+2","Facile","Homme","ouvrir","employe","aucun","Plutot facile",1,2,2
">=BAC+3","Facile","Femme","ouvrir","employe","aucun","Plutot dificile",0,0,0
"CAP","Facile","Femme","ouvrir","employe","aucun","Tres facile",6,5,50
"CAP","Facile","Femme","artis-commerc","employe","aucun","Plutot dificile",0,0,18
"Aucun","Dificile","Femme","ouvrir","ouvrir","aucun","Plutot dificile",6,7,7
"CAP","Facile","Femme","ing-cadre-prof_lib","employe","aucun","Plutot facile",3,12,85
"CAP","Facile","Homme","prof_interm","ouvrir","aucun","Plutot facile",NA,0,0
"CAP","Dificile","Homme","ouvrir","ouvrir","aucun","Plutot dificile",NA,7,13
"CAP","Facile","Homme","ouvrir","ouvrir","plusieurs","Plutot facile",0,4,73
"CAP","Facile","Femme","prof_interm","prof_interm","aucun","Tres facile",2,0,48
"BAC","Dificile","Femme","agric","agric","aucun","Plutot facile",6,0,NA
"CAP","Dificile","Femme","employe","employe","aucun","Plutot facile",0,50,56
"BAC","Dificile","Femme","ouvrir","ouvrir","aucun","Tres dificile",0,52,NA
